check_id,requirement,audit_method,status,finding,impact_on_historical_results,file_class_function_line,minimal_fix_or_stage3_requirement,evidence_path
P01,Three consecutive slices map to [z-1 z z+1],Static code review plus unique-valued synthetic volume,PASS,Training and full-case validation both use clamped consecutive indices in the required order.,Supports correctness of all standard 3-slice A/C/D/E inputs.,nnunet25d/common/dataloader_25d.py nnUNetDataLoader25D._get_slice_indices lines32-33 and _stack_input_slices lines40-46; nnunet25d/baseline/trainer_25d.py lines124-143,No historical fix.,tests/current_pipeline_synthetic_results.json
P02,GT supervision corresponds strictly to center z,Static code review plus unique-valued synthetic target,PASS,Only the center slice of seg is cropped and returned; synthetic targets at z=0/2/4 matched exactly.,Supports center-slice task interpretation.,nnunet25d/common/dataloader_25d.py nnUNetDataLoader25D.generate_train_batch lines60-71,Stage3 must retain the same center target.,tests/current_pipeline_synthetic_results.json
P03,First and last slice boundary behavior is correct,Static code review and z=0/z=last synthetic tests,PASS,Clamped replication yields [0 0 1] and [last-1 last last].,No boundary-index bug found in historical 2.5D runs.,nnunet25d/common/dataloader_25d.py lines32-33; nnunet25d/baseline/trainer_25d.py lines124-126,Stage3 must use identical clamping.,tests/current_pipeline_synthetic_results.json
P04,Spatial transforms are synchronized across three slices and GT,Inspect transform construction and execute 24 synthetic random spatial trials,PASS,The stacked channels and segmentation enter one SpatialTransform call; transformed image channels were identical and threshold alignment Dice was 1.0 in all trials.,No evidence of geometric desynchronization in historical 2.5D training.,nnunet25d/common/dataloader_25d.py lines73-88; installed nnUNetTrainer.get_training_transforms lines715-721 and 785-790,No historical fix; retain one joint spatial transform.,tests/current_pipeline_synthetic_results.json
P05,Intensity augmentation behavior is known,Inspect actual nnU-Net transform objects and execute 40 full-transform trials,PASS_WITH_CAUTION,Gaussian noise synchronizes channels but blur brightness contrast low-resolution and gamma do not; 26/40 trials turned identical channels into nonidentical channels.,Historical A/C/D/E share this standard behavior but R0 duplicated-center would not remain duplicated if formed before augmentation.,installed nnUNetTrainer.get_training_transforms lines727-783,Stage3 must sample one shared intensity transform across slices and construct/check exact R0 duplicates at residual-branch input.,tests/current_pipeline_synthetic_results.json
P06,Patient slices cannot cross folds,Audit all five split lists over all 192 case IDs,PASS,Train/validation are disjoint per fold and every patient occurs in validation exactly once.,No patient-level fold leakage found.,nnUNet_data/nnUNet_preprocessed/Dataset001_BHSD/splits_final.json,Freeze split SHA256 A7F3088C3195273FEFFAA06A99E9A8F2C62F6AEB0AC5DC97A8498D1D5C55BEEA.,tests/split_fold_checks.csv; tests/real_data_and_summary_audit.json
P07,Labels are restricted to 0-5,Read 20 selected raw label volumes and 20 E0 prediction/GT pairs,PASS,All audited values were subsets of 0-5; the oracle audit had already checked all six E0/E2 result sets.,No illegal-label evidence found.,raw Dataset001 labelsTr; oracle run lines250-268,Repeat label assertions for every Stage3 output before metrics.,tests/real_case_sample_audit.csv; tests/prediction_geometry_sample_audit.csv
P08,2D 3D and 2.5D use the same locked case splits,Parse 52 validation summaries and compare IDs to splits_final.json,PASS,All 52 summaries contained exactly the expected validation cases with no duplicate IDs; binary summaries also match Dataset001 split IDs.,Supports paired patient comparisons on matching folds.,all audited validation/summary.json files,Stage3 must refuse any case-set mismatch.,tests/historical_summary_inventory.csv
P09,Prediction and GT shape affine spacing and case ID match,Read 20 E0 NIfTI/GT pairs and reuse full six-set oracle geometry audit,PASS,Size spacing origin direction and IDs matched for the 20-case sample; oracle reports all 39 cases across six E sets match shape and affine.,No geometry mismatch found for audited results.,E0 seed3407 validation; oracle run lines250-268,Stage3 evaluation must check geometry before any metric.,tests/prediction_geometry_sample_audit.csv; ORACLE_ANALYSIS_REPORT.md
P10,Best final online EMA and summary Dice are not mixed,Inspect runner checkpoint flags result trees summaries and metric code,PASS_WITH_CAUTION,All 52 trees have best and final checkpoints and configs use --val_best; summary foreground Dice is internally consistent. Online EMA is patch-level pooled pseudo-Dice used only to select checkpoint and is not numerically interchangeable.,Historical headline tables and oracle correctly use summary.json; older generic result consumers remain capable of mixing metrics if labels are ignored.,scripts/run_experiment.py _train_command lines404-425; installed nnUNetTrainer lines1070-1142,Stage3 outputs must carry metric_id checkpoint filename and support in every table.,tests/historical_summary_inventory.csv; metric_definition_audit.csv
