comparison_id,treatment,control,scientific_question,changed_factors,same_split,same_cases,same_backbone,same_capacity,same_optimizer,same_checkpoint_rule,same_metric,seed_control,fold_coverage,source_faithful,validity_level,allowed_claim,forbidden_claim,blocker,evidence_path
MC_2D_VS_3D_5F,multiclass nnU-Net 3D,multiclass nnU-Net 2D,Which complete nnU-Net pipeline performs better on the locked BHSD multiclass cross-validation?,dimensionality architecture patch batch receptive field resampling compute,yes,yes,no,no,partial,yes,yes,nominal seed only; child model/data/worker streams not proven paired,folds0-4,no,FORMAL_COMPARISON,The locked 3D pipeline has higher five-fold validation foreground Dice and every subtype mean than the locked 2D pipeline.,The gain was caused only by through-plane context or generalizes to an independent test set.,Pipelines differ in many factors and validation selects checkpoints.,PROJECT_HANDOFF.md; tests/historical_summary_inventory.csv
BIN_2D_VS_3D_5F,binary nnU-Net 3D,binary nnU-Net 2D,Which complete nnU-Net pipeline performs better for binary hemorrhage under the locked cross-validation?,dimensionality architecture patch batch receptive field resampling compute,yes,yes,no,no,partial,yes,yes,nominal seed only; child model/data/worker streams not proven paired,folds0-4,no,FORMAL_COMPARISON,Binary 2D is numerically 0.010905 higher in mean validation Dice than binary 3D.,2D is statistically or causally superior to 3D.,Only five validation folds and no independent test; pipeline factors differ.,PROJECT_HANDOFF.md; tests/historical_summary_inventory.csv
MC_A0_VS_2D_F0,multiclass standard 3-slice A0,multiclass 2D,Does naive stacked input improve fold0 under the historical harmonized policy?,input channels first-layer parameters stochastic trajectory and stopping epoch,yes,yes,partial,no,yes,yes,yes,not controlled in child; augmentation workers seeds=None,fold0,no,EXPLORATORY_SCREEN,A0 did not automatically improve multiclass fold0 and was 0.015967 below 2D on this split.,True neighbours have no value or A0 is worse across patients.,Only fold0; input and capacity change together; unpaired stochastic optimization.,PROJECT_HANDOFF.md; configs/baseline_25d_3slide.yaml; D:/BHSD_server_backups/multiclass_25d_3slice_fold0_min300_patience100
BIN_A0_VS_2D_F0,binary standard 3-slice A0,binary 2D,Does naive stacked input improve binary fold0?,input channels first-layer parameters stochastic trajectory and stopping epoch,yes,yes,partial,no,yes,yes,yes,not controlled in child; augmentation workers seeds=None,fold0,no,EXPLORATORY_SCREEN,Binary A0 was 0.007915 below binary 2D on fold0.,The result predicts multiclass behavior or proves neighbours are useless.,Binary is a different learned task and this is one unpaired fold.,PROJECT_HANDOFF.md; configs/baseline_25d_3slide_binary.yaml
A1_VS_A0,A1 common adapter,A0 stacked input,Can added adapter capacity alter fold0 performance?,adapter and capacity,yes,yes,yes,no,yes,yes,yes,not controlled in child; workers seeds=None,fold0,no,EXPLORATORY_SCREEN,A1 is a historical adapter-capacity screen on fold0.,A1 estimates a clean capacity effect.,The runs are not paired in seed/data stream and the fold was repeatedly screened.,docs/ATTENTION_MODULE_SCREEN.md; tests/existing_verifier_runs.log
A2_VS_A1,A2 CSAM-style slice gate,A1 adapter control,Does a CSAM-inspired gate screen better than the common adapter on fold0?,mechanism and parameter count 184 vs 97,yes,yes,yes,no,yes,yes,yes,not controlled in child; workers seeds=None,fold0,no,EXPLORATORY_SCREEN,A2 is a harmonized module-screen result.,This is an official CSAM reproduction or a capacity-isolated causal effect.,Source protocol and capacity differ; one repeatedly used fold.,docs/ATTENTION_MODULE_SCREEN.md; tests/existing_verifier_runs.log
A3_VS_A1,A3 ECA slice gate,A1 adapter control,Does an ECA-inspired slice gate screen better on fold0?,mechanism and parameter count 100 vs 97,yes,yes,yes,no,yes,yes,yes,not controlled in child; workers seeds=None,fold0,no,EXPLORATORY_SCREEN,A3 is a harmonized fold0 screen.,This is an ECA reproduction or generalizable effect.,Not source-faithful and not seed-paired.,docs/ATTENTION_MODULE_SCREEN.md; tests/existing_verifier_runs.log
A4_VS_A1,A4 pixel-wise cross-slice,A1 adapter control,Does pixel-wise slice weighting screen better on fold0?,mechanism and parameter count 172 vs 97,yes,yes,yes,no,yes,yes,yes,not controlled in child; workers seeds=None,fold0,no,EXPLORATORY_SCREEN,A4 is a paper-derived harmonized screen.,This is a source-code-faithful XAG-Net reproduction.,No official code and the end-to-end architecture/protocol differs.,docs/ATTENTION_MODULE_SCREEN.md; tests/existing_verifier_runs.log
A5_VS_A1,A5 CSA-style center-neighbour,A1 adapter control,Does a CSA-inspired operation screen better on fold0?,mechanism and parameter count 2333 vs 97,yes,yes,yes,no,yes,yes,yes,not controlled in child; workers seeds=None,fold0,no,EXPLORATORY_SCREEN,A5 was the strongest attention arm in the historical screen.,This is an official CSA-Net reproduction or a pure attention effect.,Backbone grid capacity and training protocol differ strongly from CSA-Net.,docs/ATTENTION_MODULE_SCREEN.md; docs/ATTENTION_REPRODUCTION_POLICY.md
A6_VS_A1,A6 CBAM,A1 adapter control,Does CBAM screen better on fold0?,mechanism and parameter count 270 vs 97,yes,yes,yes,no,yes,yes,yes,not controlled in child; workers seeds=None,fold0,no,EXPLORATORY_SCREEN,A6 is a harmonized module screen.,CBAM is validated for BHSD multiclass generally.,One seed policy and one repeatedly screened fold.,docs/ATTENTION_MODULE_SCREEN.md; tests/existing_verifier_runs.log
A7_VS_A1,A7 coordinate attention,A1 adapter control,Does coordinate attention screen better on fold0?,mechanism and parameter count 745 vs 97,yes,yes,yes,no,yes,yes,yes,not controlled in child; workers seeds=None,fold0,no,EXPLORATORY_SCREEN,A7 is a harmonized module screen.,Coordinate attention has a general BHSD effect.,One seed policy and one repeatedly screened fold.,docs/ATTENTION_MODULE_SCREEN.md; tests/existing_verifier_runs.log
A8_VS_A1,A8 axial slice convolution,A1 adapter control,Does axial slice convolution screen better on fold0?,mechanism and parameter count 305 vs 97,yes,yes,yes,no,yes,yes,yes,not controlled in child; workers seeds=None,fold0,no,EXPLORATORY_SCREEN,A8 was the highest A-series fold0 score.,Axial context is proven or A8 is a P3D reproduction.,Capacity and randomness are not paired; P3D is only inspiration.,docs/ATTENTION_MODULE_SCREEN.md; PROJECT_HANDOFF.md
