metric_id,definition,aggregation,empty_gt_empty_pred,gt_present_pred_empty,gt_absent_pred_present,unit,historical_use,stage3_role,comparability_and_audit_finding,evidence
NNUNET_FOREGROUND_MEAN_DICE,"For each foreground label compute case Dice 2TP/(2TP+FP+FN); take nanmean across cases for each label; then arithmetic mean across foreground labels.",class-balanced mean of five nnU-Net class means,NaN and excluded from that class mean,Dice 0,Dice 0,0-1,Primary headline metric for 2D/3D/A/C/D/E full-case validation,Secondary required outcome and checkpoint-independent final report,It includes absent-class false positives but excludes true-negative empty/empty pairs; it is not a patient-present macro and is not online EMA.,installed nnunetv2/evaluation/evaluate_predictions.py lines88-117; validation/summary.json
PER_CLASS_GT_PRESENT_DICE,"For class c retain patients with n_ref(c)>0 and average 2TP/(n_ref+n_pred).",one mean per class over its GT-present patients,not in support,Dice 0,not in support,0-1,Used in oracle and case-level mechanism analysis,Required secondary outcome and feeds primary Stage3 macro,Uses common GT-defined support across models.,reports/symmetric_e0_e2_multiseed_oracle_2026-07-26/run_oracle_analysis.py lines385-400
CLASS_BALANCED_PRESENT_MACRO_DICE,"Compute PER_CLASS_GT_PRESENT_DICE for each of labels1-5 then take an unweighted mean across the five classes.",class first then unweighted five-class mean,not in support,Dice 0,not in support,0-1,Primary metric for the locked complementarity oracle,Primary Stage3 mechanism endpoint,Differs from averaging all present patient-class rows because rare classes receive equal class weight.,oracle analysis present_metric_outputs lines385-400
POOLED_PRESENT_CASE_CLASS_DICE,"Pool every patient-class pair with n_ref>0 and take the arithmetic mean of pairwise Dice.",each present patient-class pair has equal weight,not in support,Dice 0,not in support,0-1,Reported separately in oracle diagnostics,Secondary descriptive only,Common support but frequent classes receive more weight than rare classes; must not be labeled class-balanced.,oracle analysis present_metric_outputs lines398-400
CASE_BALANCED_PRESENT_MACRO_DICE,"Within each patient average Dice over that patient's GT-present classes; then average patients.",patient first then mean,patients without any foreground would be excluded,Dice 0,not in support,0-1,Called ground_truth_present_case_class_macro in summarize_symmetric_multiseed.py,Descriptive only unless separately labeled,This is not the class-balanced present macro used by the oracle; historical files correctly label them separately but prose must keep the distinction.,scripts/summarize_symmetric_multiseed.py lines65-77
MODEL_SPECIFIC_FINITE_CASE_MACRO_DICE,"Within each model and patient average all finite class Dice values then average patients.",model-specific support then patient mean,excluded only for classes where that model and GT are both empty,Dice 0,Dice 0,0-1,Direction probe and case-level descriptive views,Not an endpoint for Stage3 success,Supports can differ by model because a false positive converts NaN to zero; direct causal comparison is unsafe unless labeled.,scripts/summarize_symmetric_multiseed.py lines50-62
ABSENT_CLASS_FP,"For each patient-class with n_ref=0 record any n_pred>0 and FP voxel/physical volume; summarize case fraction and volume.",paired on the same absent patient-class support,correct true negative recorded as no FP,not in support,positive prediction is FP,count and mL,Used in E case analysis oracle and binary-union diagnostic,Required safety/mechanism outcome,Must remain separate from GT-present delineation; improvement here cannot substitute for positive present-macro gain.,scripts/analyze_case_level_effects.py lines267-308; oracle absent_fp_by_seed.csv
LESION_LEVEL_F1_RECALL,"Per class form 26-connected 3D GT and prediction components; Hungarian one-to-one matching maximizes intersection and accepts a pair iff intersection>0; TP=matched pairs FP=unmatched predictions FN=unmatched GT; F1=2TP/(2TP+FP+FN) and recall=TP/(TP+FN).",pool component counts within each patient first; report patient-cluster summaries and per class,if both have no components the patient-class is excluded,recall 0 and F1 0,no GT components handled in absent FP not lesion F1,0-1,Not present in formal historical tables,Required secondary Stage3 outcome,This exact definition is newly preregistered and must be implemented/tested before use; do not infer it from voxel Dice.,stage3_preregistered_protocol.md
SMALL_LESION_RECALL,"LESION_LEVEL_RECALL restricted to individual GT components with physical volume <1.0mL; matching rule unchanged.",per class and pooled GT lesions with patient as inference cluster,not in support,miss contributes 0,not in support,0-1,Historical binary-union report used whole-patient <1mL groups not lesion-component recall,Required secondary Stage3 outcome,Do not relabel the old n=4 patient subgroup as lesion-level recall.,binary-union analysis_config.json; stage3_preregistered_protocol.md
HD95_MM,"For a GT-present class compute bidirectional surface-to-surface distances in physical coordinates and take the 95th percentile of their union.",per patient-class then class-specific and class-balanced summaries,excluded,assign the physical image diagonal as a locked failure penalty,not summarized here; use absent FP,mm,Posthoc binary-union diagnostic has physical HD95 for nonempty predictions; generic evaluation helper does not,Required secondary Stage3 outcome,The generic evaluation/metrics.py value is maximum Hausdorff in voxel coordinates and is forbidden as HD95; Stage3 needs a new tested implementation.,evaluation/metrics.py lines27-49; binary-union run_binary_union_diagnostic.py lines36-46
